ELECTIONABBR	CONTESTID	CONTESTABBR1	CONTESTABBR2	BALLOTTYPE	ROTATION
2022NOVGEN	100	Retiree Supplemental Cost Of Living Adjustment; Retirement Board Contract With Executive Director		1	
2022NOVGEN	100	Retiree Supplemental Cost Of Living Adjustment; Retirement Board Contract With Executive Director		2	
2022NOVGEN	100	Retiree Supplemental Cost Of Living Adjustment; Retirement Board Contract With Executive Director		3	
2022NOVGEN	100	Retiree Supplemental Cost Of Living Adjustment; Retirement Board Contract With Executive Director		4	
2022NOVGEN	100	Retiree Supplemental Cost Of Living Adjustment; Retirement Board Contract With Executive Director		5	
2022NOVGEN	100	Retiree Supplemental Cost Of Living Adjustment; Retirement Board Contract With Executive Director		6	
2022NOVGEN	100	Retiree Supplemental Cost Of Living Adjustment; Retirement Board Contract With Executive Director		7	
2022NOVGEN	100	Retiree Supplemental Cost Of Living Adjustment; Retirement Board Contract With Executive Director		8	
2022NOVGEN	100	Retiree Supplemental Cost Of Living Adjustment; Retirement Board Contract With Executive Director		9	
2022NOVGEN	100	Retiree Supplemental Cost Of Living Adjustment; Retirement Board Contract With Executive Director		10	
2022NOVGEN	100	Retiree Supplemental Cost Of Living Adjustment; Retirement Board Contract With Executive Director		11	
2022NOVGEN	100	Retiree Supplemental Cost Of Living Adjustment; Retirement Board Contract With Executive Director		12	
2022NOVGEN	100	Retiree Supplemental Cost Of Living Adjustment; Retirement Board Contract With Executive Director		13	
2022NOVGEN	100	Retiree Supplemental Cost Of Living Adjustment; Retirement Board Contract With Executive Director		14	
2022NOVGEN	100	Retiree Supplemental Cost Of Living Adjustment; Retirement Board Contract With Executive Director		15	
2022NOVGEN	100	Retiree Supplemental Cost Of Living Adjustment; Retirement Board Contract With Executive Director		16	
2022NOVGEN	100	Retiree Supplemental Cost Of Living Adjustment; Retirement Board Contract With Executive Director		17	
2022NOVGEN	100	Retiree Supplemental Cost Of Living Adjustment; Retirement Board Contract With Executive Director		18	
2022NOVGEN	100	Retiree Supplemental Cost Of Living Adjustment; Retirement Board Contract With Executive Director		19	
2022NOVGEN	100	Retiree Supplemental Cost Of Living Adjustment; Retirement Board Contract With Executive Director		20	
2022NOVGEN	100	Retiree Supplemental Cost Of Living Adjustment; Retirement Board Contract With Executive Director		21	
2022NOVGEN	100	Retiree Supplemental Cost Of Living Adjustment; Retirement Board Contract With Executive Director		22	
2022NOVGEN	100	Retiree Supplemental Cost Of Living Adjustment; Retirement Board Contract With Executive Director		23	
2022NOVGEN	100	Retiree Supplemental Cost Of Living Adjustment; Retirement Board Contract With Executive Director		24	
2022NOVGEN	100	Retiree Supplemental Cost Of Living Adjustment; Retirement Board Contract With Executive Director		25	
2022NOVGEN	100	Retiree Supplemental Cost Of Living Adjustment; Retirement Board Contract With Executive Director		26	
2022NOVGEN	100	Retiree Supplemental Cost Of Living Adjustment; Retirement Board Contract With Executive Director		27	
2022NOVGEN	100	Retiree Supplemental Cost Of Living Adjustment; Retirement Board Contract With Executive Director		28	
2022NOVGEN	100	Retiree Supplemental Cost Of Living Adjustment; Retirement Board Contract With Executive Director		29	
2022NOVGEN	100	Retiree Supplemental Cost Of Living Adjustment; Retirement Board Contract With Executive Director		30	
2022NOVGEN	100	Retiree Supplemental Cost Of Living Adjustment; Retirement Board Contract With Executive Director		31	
2022NOVGEN	100	Retiree Supplemental Cost Of Living Adjustment; Retirement Board Contract With Executive Director		32	
2022NOVGEN	100	Retiree Supplemental Cost Of Living Adjustment; Retirement Board Contract With Executive Director		33	
2022NOVGEN	100	Retiree Supplemental Cost Of Living Adjustment; Retirement Board Contract With Executive Director		34	
2022NOVGEN	101	Public Works Department And Commission, Sanitation And Streets Department And Commission		1	
2022NOVGEN	101	Public Works Department And Commission, Sanitation And Streets Department And Commission		2	
2022NOVGEN	101	Public Works Department And Commission, Sanitation And Streets Department And Commission		3	
2022NOVGEN	101	Public Works Department And Commission, Sanitation And Streets Department And Commission		4	
2022NOVGEN	101	Public Works Department And Commission, Sanitation And Streets Department And Commission		5	
2022NOVGEN	101	Public Works Department And Commission, Sanitation And Streets Department And Commission		6	
2022NOVGEN	101	Public Works Department And Commission, Sanitation And Streets Department And Commission		7	
2022NOVGEN	101	Public Works Department And Commission, Sanitation And Streets Department And Commission		8	
2022NOVGEN	101	Public Works Department And Commission, Sanitation And Streets Department And Commission		9	
2022NOVGEN	101	Public Works Department And Commission, Sanitation And Streets Department And Commission		10	
2022NOVGEN	101	Public Works Department And Commission, Sanitation And Streets Department And Commission		11	
2022NOVGEN	101	Public Works Department And Commission, Sanitation And Streets Department And Commission		12	
2022NOVGEN	101	Public Works Department And Commission, Sanitation And Streets Department And Commission		13	
2022NOVGEN	101	Public Works Department And Commission, Sanitation And Streets Department And Commission		14	
2022NOVGEN	101	Public Works Department And Commission, Sanitation And Streets Department And Commission		15	
2022NOVGEN	101	Public Works Department And Commission, Sanitation And Streets Department And Commission		16	
2022NOVGEN	101	Public Works Department And Commission, Sanitation And Streets Department And Commission		17	
2022NOVGEN	101	Public Works Department And Commission, Sanitation And Streets Department And Commission		18	
2022NOVGEN	101	Public Works Department And Commission, Sanitation And Streets Department And Commission		19	
2022NOVGEN	101	Public Works Department And Commission, Sanitation And Streets Department And Commission		20	
2022NOVGEN	101	Public Works Department And Commission, Sanitation And Streets Department And Commission		21	
2022NOVGEN	101	Public Works Department And Commission, Sanitation And Streets Department And Commission		22	
2022NOVGEN	101	Public Works Department And Commission, Sanitation And Streets Department And Commission		23	
2022NOVGEN	101	Public Works Department And Commission, Sanitation And Streets Department And Commission		24	
2022NOVGEN	101	Public Works Department And Commission, Sanitation And Streets Department And Commission		25	
2022NOVGEN	101	Public Works Department And Commission, Sanitation And Streets Department And Commission		26	
2022NOVGEN	101	Public Works Department And Commission, Sanitation And Streets Department And Commission		27	
2022NOVGEN	101	Public Works Department And Commission, Sanitation And Streets Department And Commission		28	
2022NOVGEN	101	Public Works Department And Commission, Sanitation And Streets Department And Commission		29	
2022NOVGEN	101	Public Works Department And Commission, Sanitation And Streets Department And Commission		30	
2022NOVGEN	101	Public Works Department And Commission, Sanitation And Streets Department And Commission		31	
2022NOVGEN	101	Public Works Department And Commission, Sanitation And Streets Department And Commission		32	
2022NOVGEN	101	Public Works Department And Commission, Sanitation And Streets Department And Commission		33	
2022NOVGEN	101	Public Works Department And Commission, Sanitation And Streets Department And Commission		34	
2022NOVGEN	102	Homelessness Oversight Commission		1	
2022NOVGEN	102	Homelessness Oversight Commission		2	
2022NOVGEN	102	Homelessness Oversight Commission		3	
2022NOVGEN	102	Homelessness Oversight Commission		4	
